srclang,trglang,srcIndex,documentId,segmentId,judgeId,systemNumber,systemId,editId,judgment
Czech,English,1773,abces/2009/12/10/200784,1,ABTW6BJ90KRHP,43,rwth-combo,57,NO
Czech,English,1774,abces/2009/12/10/200784,2,ABTW6BJ90KRHP,43,rwth-combo,58,NO
Czech,English,1775,abces/2009/12/10/200784,3,A3L1TNHRLMPUVO,43,rwth-combo,59,NO
Czech,English,1776,abces/2009/12/10/200784,4,A3L1TNHRLMPUVO,43,rwth-combo,60,NO
Czech,English,1890,cincodias/2009/12/10/53248,32,ABTW6BJ90KRHP,25,jhu-combo,405,YES
Czech,English,1890,cincodias/2009/12/10/53248,32,ABTW6BJ90KRHP,3,bbn-combo,3020,YES
Czech,English,1890,cincodias/2009/12/10/53248,32,ABTW6BJ90KRHP,43,rwth-combo,3220,YES
Czech,English,1924,cincodias/2009/12/10/53252,16,ABTW6BJ90KRHP,15,cu-zeman,416,NO
Czech,English,1924,cincodias/2009/12/10/53252,16,ABTW6BJ90KRHP,13,cu-bojar,3001,YES
Czech,English,1924,cincodias/2009/12/10/53252,16,ABTW6BJ90KRHP,15,cu-zeman,4456,NO
Czech,English,1924,cincodias/2009/12/10/53252,16,ABTW6BJ90KRHP,43,rwth-combo,5491,NO
Czech,English,1925,cincodias/2009/12/10/53252,17,ABTW6BJ90KRHP,15,cu-zeman,417,NO
Czech,English,1925,cincodias/2009/12/10/53252,17,ABTW6BJ90KRHP,13,cu-bojar,3002,YES
Czech,English,1925,cincodias/2009/12/10/53252,17,ABTW6BJ90KRHP,15,cu-zeman,4457,NO
Czech,English,1925,cincodias/2009/12/10/53252,17,ABTW6BJ90KRHP,43,rwth-combo,5492,NO
Czech,English,1926,cincodias/2009/12/10/53252,18,ABTW6BJ90KRHP,15,cu-zeman,418,NO
Czech,English,1926,cincodias/2009/12/10/53252,18,ABTW6BJ90KRHP,13,cu-bojar,3003,NO
Czech,English,1926,cincodias/2009/12/10/53252,18,ABTW6BJ90KRHP,15,cu-zeman,4458,NO
Czech,English,1926,cincodias/2009/12/10/53252,18,ABTW6BJ90KRHP,43,rwth-combo,5493,YES
Czech,English,1886,cincodias/2009/12/10/53248,28,ABTW6BJ90KRHP,25,jhu-combo,401,NO
Czech,English,1886,cincodias/2009/12/10/53248,28,ABTW6BJ90KRHP,3,bbn-combo,3016,NO
Czech,English,1886,cincodias/2009/12/10/53248,28,ABTW6BJ90KRHP,43,rwth-combo,3216,NO
Czech,English,1887,cincodias/2009/12/10/53248,29,ABTW6BJ90KRHP,25,jhu-combo,402,NO
Czech,English,1887,cincodias/2009/12/10/53248,29,ABTW6BJ90KRHP,3,bbn-combo,3017,YES
Czech,English,1887,cincodias/2009/12/10/53248,29,ABTW6BJ90KRHP,43,rwth-combo,3217,YES
Czech,English,1888,cincodias/2009/12/10/53248,30,ABTW6BJ90KRHP,25,jhu-combo,403,NO
Czech,English,1888,cincodias/2009/12/10/53248,30,ABTW6BJ90KRHP,3,bbn-combo,3018,NO
Czech,English,1888,cincodias/2009/12/10/53248,30,ABTW6BJ90KRHP,43,rwth-combo,3218,NO
Czech,English,1889,cincodias/2009/12/10/53248,31,ABTW6BJ90KRHP,25,jhu-combo,404,NO
Czech,English,1889,cincodias/2009/12/10/53248,31,ABTW6BJ90KRHP,3,bbn-combo,3019,NO
Czech,English,1889,cincodias/2009/12/10/53248,31,ABTW6BJ90KRHP,43,rwth-combo,3219,NO
Czech,English,1949,cincodias/2009/12/10/53253,13,ABTW6BJ90KRHP,3,bbn-combo,438,YES
Czech,English,1949,cincodias/2009/12/10/53253,13,ABTW6BJ90KRHP,2,aalto,3043,NO
Czech,English,1949,cincodias/2009/12/10/53253,13,ABTW6BJ90KRHP,6,cmu-heafield-combo,3048,YES
Czech,English,1949,cincodias/2009/12/10/53253,13,ABTW6BJ90KRHP,46,uedin,5503,NO
Czech,English,1950,cincodias/2009/12/10/53253,14,ABTW6BJ90KRHP,3,bbn-combo,439,NO
Czech,English,1950,cincodias/2009/12/10/53253,14,ABTW6BJ90KRHP,2,aalto,3044,NO
Czech,English,1950,cincodias/2009/12/10/53253,14,ABTW6BJ90KRHP,6,cmu-heafield-combo,3049,YES
Czech,English,1950,cincodias/2009/12/10/53253,14,ABTW6BJ90KRHP,46,uedin,5504,YES
Czech,English,1927,cincodias/2009/12/10/53252,19,ABTW6BJ90KRHP,15,cu-zeman,419,NO
Czech,English,1927,cincodias/2009/12/10/53252,19,ABTW6BJ90KRHP,13,cu-bojar,3004,YES
Czech,English,1927,cincodias/2009/12/10/53252,19,ABTW6BJ90KRHP,15,cu-zeman,4459,NO
Czech,English,1927,cincodias/2009/12/10/53252,19,ABTW6BJ90KRHP,43,rwth-combo,5494,YES
Czech,English,1928,cincodias/2009/12/10/53252,20,ABTW6BJ90KRHP,15,cu-zeman,420,NO
Czech,English,1928,cincodias/2009/12/10/53252,20,ABTW6BJ90KRHP,13,cu-bojar,3005,NO
Czech,English,1928,cincodias/2009/12/10/53252,20,ABTW6BJ90KRHP,15,cu-zeman,4460,YES
Czech,English,1928,cincodias/2009/12/10/53252,20,ABTW6BJ90KRHP,43,rwth-combo,5495,YES
Czech,English,1951,cincodias/2009/12/10/53253,15,A3L1TNHRLMPUVO,3,bbn-combo,440,NO
Czech,English,1951,cincodias/2009/12/10/53253,15,A3L1TNHRLMPUVO,2,aalto,3045,NO
Czech,English,1951,cincodias/2009/12/10/53253,15,A3L1TNHRLMPUVO,6,cmu-heafield-combo,3050,NO
Czech,English,1951,cincodias/2009/12/10/53253,15,A3L1TNHRLMPUVO,46,uedin,5505,NO
Czech,English,427,economist/2009/12/10/17238,2,A3L1TNHRLMPUVO,25,jhu-combo,3746,YES
Czech,English,427,economist/2009/12/10/17238,2,A3L1TNHRLMPUVO,6,cmu-heafield-combo,4596,YES
Czech,English,427,economist/2009/12/10/17238,2,A3L1TNHRLMPUVO,43,rwth-combo,5526,YES
Czech,English,427,economist/2009/12/10/17238,2,A3L1TNHRLMPUVO,37,onlineA,5581,NO
Czech,English,1947,cincodias/2009/12/10/53253,11,ABTW6BJ90KRHP,3,bbn-combo,436,NO
Czech,English,1947,cincodias/2009/12/10/53253,11,ABTW6BJ90KRHP,2,aalto,3041,YES
Czech,English,1947,cincodias/2009/12/10/53253,11,ABTW6BJ90KRHP,6,cmu-heafield-combo,3046,NO
