srclang,trglang,srcIndex,documentId,segmentId,judgeId,system1Number,system1Id,system2Number,system2Id,system3Number,system3Id,system4Number,system4Id,system5Number,system5Id,system1rank,system2rank,system3rank,system4rank,system5rank
English,Czech,1085,lesechos/2009/12/11/218647,13,A1EVRHU1LNS7FF,46,uedin,45,sfu,15,cu-zeman,16,dcu,17,dcu-combo,5,5,5,5,2
English,Czech,1086,lesechos/2009/12/11/218647,14,A1EVRHU1LNS7FF,37,onlineA,46,uedin,20,eurotrans,1,_ref,28,koc-combo,5,3,5,1,4
English,Czech,1087,lesechos/2009/12/11/218647,15,A1EVRHU1LNS7FF,52,upv-combo,46,uedin,45,sfu,40,potsdam,39,pc-trans,4,3,5,5,1
English,Czech,1730,elmundo/2009/12/11/10126,4,AVEIMSBWHNRXE,43,rwth-combo,40,potsdam,39,pc-trans,28,koc-combo,38,onlineB,5,5,4,3,3
English,Czech,1731,elmundo/2009/12/11/10126,5,AVEIMSBWHNRXE,6,cmu-heafield-combo,38,onlineB,39,pc-trans,45,sfu,37,onlineA,4,4,4,4,2
English,Czech,1732,elmundo/2009/12/11/10126,6,AVEIMSBWHNRXE,37,onlineA,39,pc-trans,1,_ref,14,cu-tecto,17,dcu-combo,4,5,1,4,4
English,Czech,1577,spiegel/2009/12/12/73257,110,A1EVRHU1LNS7FF,15,cu-zeman,39,pc-trans,6,cmu-heafield-combo,43,rwth-combo,52,upv-combo,4,1,3,3,3
English,Czech,1578,spiegel/2009/12/12/73257,111,A1EVRHU1LNS7FF,6,cmu-heafield-combo,39,pc-trans,45,sfu,37,onlineA,46,uedin,5,5,4,3,5
English,Czech,1579,spiegel/2009/12/12/73257,112,A1EVRHU1LNS7FF,40,potsdam,37,onlineA,43,rwth-combo,46,uedin,17,dcu-combo,5,5,5,5,5
English,Czech,80,lidovky.cz/2009/12/10/75493,3,A3TINYB3EM923P,43,rwth-combo,6,cmu-heafield-combo,27,koc,14,cu-tecto,37,onlineA,4,5,3,3,4
English,Czech,81,lidovky.cz/2009/12/10/75493,4,A3TINYB3EM923P,17,dcu-combo,46,uedin,38,onlineB,14,cu-tecto,15,cu-zeman,5,5,4,4,5
English,Czech,82,lidovky.cz/2009/12/10/75493,5,A3TINYB3EM923P,13,cu-bojar,28,koc-combo,40,potsdam,43,rwth-combo,46,uedin,2,4,4,5,3
English,Czech,1227,frankfurter-rundschau/2009/12/10/99527,16,A1EVRHU1LNS7FF,46,uedin,17,dcu-combo,20,eurotrans,28,koc-combo,15,cu-zeman,4,3,5,3,5
English,Czech,1228,frankfurter-rundschau/2009/12/10/99527,17,A1EVRHU1LNS7FF,1,_ref,52,upv-combo,46,uedin,15,cu-zeman,13,cu-bojar,3,1,2,5,2
English,Czech,1229,frankfurter-rundschau/2009/12/10/99527,18,A1EVRHU1LNS7FF,1,_ref,39,pc-trans,13,cu-bojar,40,potsdam,20,eurotrans,1,4,5,5,4
English,Czech,752,times-of-london/2009/12/11/100522,5,A1EVRHU1LNS7FF,14,cu-tecto,43,rwth-combo,40,potsdam,15,cu-zeman,38,onlineB,3,5,5,5,5
English,Czech,753,times-of-london/2009/12/11/100522,6,A1EVRHU1LNS7FF,46,uedin,37,onlineA,43,rwth-combo,38,onlineB,45,sfu,5,5,5,5,5
English,Czech,754,times-of-london/2009/12/11/100522,7,A1EVRHU1LNS7FF,6,cmu-heafield-combo,13,cu-bojar,52,upv-combo,16,dcu,38,onlineB,5,5,5,4,5
English,Czech,455,washpost/2009/12/12/79432,7,A1EVRHU1LNS7FF,17,dcu-combo,40,potsdam,37,onlineA,20,eurotrans,1,_ref,5,5,5,4,1
English,Czech,456,washpost/2009/12/12/79432,8,A1EVRHU1LNS7FF,45,sfu,52,upv-combo,38,onlineB,28,koc-combo,39,pc-trans,5,5,5,4,3
English,Czech,457,washpost/2009/12/12/79432,9,A1EVRHU1LNS7FF,28,koc-combo,43,rwth-combo,15,cu-zeman,52,upv-combo,40,potsdam,5,4,5,-1,-1
