srclang,trglang,srcIndex,documentId,segmentId,judgeId,system1Number,system1Id,system2Number,system2Id,system3Number,system3Id,system4Number,system4Id,system5Number,system5Id,system1rank,system2rank,system3rank,system4rank,system5rank
Spanish,English,39,lidovky.cz/2009/12/10/75519,6,A23KO2TP7I4KK2,3,bbn-combo,4,cambridge,52,upv-combo,37,onlineA,49,upc,1,4,3,5,2
Spanish,English,40,lidovky.cz/2009/12/10/75519,7,A23KO2TP7I4KK2,46,uedin,38,onlineB,15,cu-zeman,12,columbia,49,upc,3,1,5,2,4
Spanish,English,41,lidovky.cz/2009/12/10/75519,8,A23KO2TP7I4KK2,3,bbn-combo,15,cu-zeman,24,jhu,18,dfki,1,_ref,1,4,3,2,1
Spanish,English,596,washpost/2009/12/12/79417,7,A23KO2TP7I4KK2,3,bbn-combo,46,uedin,37,onlineA,15,cu-zeman,18,dfki,3,2,1,4,1
Spanish,English,597,washpost/2009/12/12/79417,8,A23KO2TP7I4KK2,25,jhu-combo,49,upc,3,bbn-combo,4,cambridge,38,onlineB,1,5,1,1,1
Spanish,English,598,washpost/2009/12/12/79417,9,A23KO2TP7I4KK2,25,jhu-combo,4,cambridge,3,bbn-combo,12,columbia,6,cmu-heafield-combo,2,1,2,4,3
Spanish,English,2024,cincodias/2009/12/11/5334,66,A23KO2TP7I4KK2,1,_ref,46,uedin,24,jhu,49,upc,38,onlineB,1,4,3,3,2
Spanish,English,2025,cincodias/2009/12/11/5334,67,A23KO2TP7I4KK2,25,jhu-combo,24,jhu,46,uedin,4,cambridge,37,onlineA,4,1,2,4,5
Spanish,English,2026,cincodias/2009/12/11/5334,68,A23KO2TP7I4KK2,3,bbn-combo,52,upv-combo,37,onlineA,23,huicong,49,upc,4,2,1,4,5
Spanish,English,1971,cincodias/2009/12/11/5334,13,AGA961CZDY79B,46,uedin,12,columbia,3,bbn-combo,4,cambridge,6,cmu-heafield-combo,2,4,1,5,4
Spanish,English,1972,cincodias/2009/12/11/5334,14,AGA961CZDY79B,23,huicong,12,columbia,38,onlineB,25,jhu-combo,52,upv-combo,3,4,2,5,1
Spanish,English,1973,cincodias/2009/12/11/5334,15,AGA961CZDY79B,3,bbn-combo,1,_ref,12,columbia,52,upv-combo,25,jhu-combo,3,2,1,2,2
Spanish,English,1180,lesechos/2009/12/11/218642,17,A23KO2TP7I4KK2,15,cu-zeman,25,jhu-combo,18,dfki,38,onlineB,23,huicong,5,2,4,1,2
Spanish,English,1181,lesechos/2009/12/11/218642,18,A23KO2TP7I4KK2,1,_ref,49,upc,6,cmu-heafield-combo,46,uedin,24,jhu,1,3,4,2,4
Spanish,English,1182,lesechos/2009/12/11/218642,19,A23KO2TP7I4KK2,37,onlineA,46,uedin,24,jhu,49,upc,38,onlineB,4,1,5,3,2
Spanish,English,1838,cincodias/2009/12/10/53245,19,AGA961CZDY79B,38,onlineB,1,_ref,46,uedin,12,columbia,18,dfki,3,1,3,3,2
Spanish,English,1839,cincodias/2009/12/10/53245,20,AGA961CZDY79B,4,cambridge,49,upc,12,columbia,18,dfki,23,huicong,1,2,3,5,3
Spanish,English,1840,cincodias/2009/12/10/53246,1,AGA961CZDY79B,24,jhu,38,onlineB,49,upc,12,columbia,6,cmu-heafield-combo,1,1,1,1,1
Spanish,English,416,economist/2009/12/10/17240,16,A23KO2TP7I4KK2,52,upv-combo,1,_ref,12,columbia,25,jhu-combo,37,onlineA,2,1,2,3,3
Spanish,English,417,economist/2009/12/10/17240,17,A23KO2TP7I4KK2,3,bbn-combo,15,cu-zeman,37,onlineA,24,jhu,4,cambridge,1,5,3,2,3
Spanish,English,418,economist/2009/12/10/17240,18,A23KO2TP7I4KK2,24,jhu,23,huicong,12,columbia,6,cmu-heafield-combo,15,cu-zeman,1,2,3,1,4
Spanish,English,1463,spiegel/2009/12/12/73266,17,A23KO2TP7I4KK2,3,bbn-combo,12,columbia,18,dfki,52,upv-combo,46,uedin,2,3,1,4,5
Spanish,English,1464,spiegel/2009/12/12/73266,18,A23KO2TP7I4KK2,46,uedin,1,_ref,23,huicong,4,cambridge,52,upv-combo,-1,1,-1,-1,-1
Spanish,English,1465,spiegel/2009/12/12/73266,19,A23KO2TP7I4KK2,23,huicong,6,cmu-heafield-combo,24,jhu,46,uedin,4,cambridge,4,3,2,1,1
English,Czech,1291,frankfurter-rundschau/2009/12/10/99511,2,A3AXVVES67QSTL,45,sfu,14,cu-tecto,40,potsdam,46,uedin,1,_ref,2,5,1,1,1
English,Czech,1292,frankfurter-rundschau/2009/12/10/99511,3,A3AXVVES67QSTL,40,potsdam,28,koc-combo,45,sfu,14,cu-tecto,39,pc-trans,4,5,3,2,1
English,Czech,1293,frankfurter-rundschau/2009/12/10/99511,4,A3AXVVES67QSTL,52,upv-combo,16,dcu,15,cu-zeman,13,cu-bojar,46,uedin,1,3,1,3,1
English,Czech,294,lidovky.cz/2009/12/10/75469,14,A3AXVVES67QSTL,15,cu-zeman,16,dcu,28,koc-combo,6,cmu-heafield-combo,37,onlineA,3,5,2,4,4
English,Czech,295,lidovky.cz/2009/12/10/75462,1,A3AXVVES67QSTL,6,cmu-heafield-combo,14,cu-tecto,13,cu-bojar,43,rwth-combo,45,sfu,3,1,4,2,2
English,Czech,296,lidovky.cz/2009/12/10/75462,2,A3AXVVES67QSTL,27,koc,46,uedin,1,_ref,37,onlineA,52,upv-combo,5,3,1,4,2
English,Czech,546,washpost/2009/12/12/79420,8,A3AXVVES67QSTL,17,dcu-combo,38,onlineB,16,dcu,40,potsdam,13,cu-bojar,2,2,5,4,3
English,Czech,547,washpost/2009/12/12/79420,9,A3AXVVES67QSTL,1,_ref,43,rwth-combo,14,cu-tecto,52,upv-combo,28,koc-combo,1,3,2,5,3
English,Czech,548,washpost/2009/12/12/79420,10,A3AXVVES67QSTL,20,eurotrans,14,cu-tecto,28,koc-combo,13,cu-bojar,27,koc,3,3,1,2,4
German,English,852,lesechos/2009/12/10/218338,9,A3RIUHDJBMN1VH,28,koc-combo,1,_ref,32,liu,6,cmu-heafield-combo,42,rwth,5,5,5,4,5
German,English,853,lesechos/2009/12/10/218338,10,A3RIUHDJBMN1VH,5,cmu,21,fbk,23,huicong,24,jhu,18,dfki,4,5,4,5,5
German,English,854,lesechos/2009/12/10/218338,11,A3RIUHDJBMN1VH,52,upv-combo,8,cmu-hyposel-combo,15,cu-zeman,24,jhu,1,_ref,4,4,4,4,1
English,Czech,558,washpost/2009/12/12/79420,20,A3AXVVES67QSTL,16,dcu,6,cmu-heafield-combo,13,cu-bojar,20,eurotrans,46,uedin,4,2,3,1,1
English,Czech,559,washpost/2009/12/12/79420,21,A3AXVVES67QSTL,1,_ref,17,dcu-combo,6,cmu-heafield-combo,16,dcu,14,cu-tecto,1,3,2,3,4
English,Czech,560,washpost/2009/12/12/79420,22,A3AXVVES67QSTL,45,sfu,52,upv-combo,27,koc,15,cu-zeman,20,eurotrans,3,2,5,4,1
