srclang,trglang,srcIndex,documentId,segmentId,judgeId,system1Number,system1Id,system2Number,system2Id,system3Number,system3Id,system4Number,system4Id,system5Number,system5Id,system1rank,system2rank,system3rank,system4rank,system5rank
Haitian Creole (Raw),English,295,htraw-en.test,295,A20ATVN6BAIQF0,1,_ref,2,cmu-heafield-combo,4,upv-prhlt-combo,0,blank,0,blank,1,2,2,-1,-1
Haitian Creole (Raw),English,296,htraw-en.test,296,A20ATVN6BAIQF0,4,upv-prhlt-combo,2,cmu-heafield-combo,1,_ref,0,blank,0,blank,2,3,1,-1,-1
Haitian Creole (Raw),English,297,htraw-en.test,297,A20ATVN6BAIQF0,2,cmu-heafield-combo,1,_ref,4,upv-prhlt-combo,0,blank,0,blank,2,1,2,-1,-1
Haitian Creole (Clean),English,292,htclean-en.test,292,ABTW6BJ90KRHP,4,upv-prhlt-combo,2,cmu-heafield-combo,1,_ref,3,koc-combo,0,blank,1,3,2,1,-1
Haitian Creole (Clean),English,293,htclean-en.test,293,ABTW6BJ90KRHP,4,upv-prhlt-combo,1,_ref,3,koc-combo,2,cmu-heafield-combo,0,blank,1,1,1,1,-1
Haitian Creole (Clean),English,294,htclean-en.test,294,ABTW6BJ90KRHP,4,upv-prhlt-combo,3,koc-combo,2,cmu-heafield-combo,1,_ref,0,blank,1,2,1,1,-1
Haitian Creole (Clean),English,112,htclean-en.test,112,ABTW6BJ90KRHP,1,_ref,3,koc-combo,2,cmu-heafield-combo,4,upv-prhlt-combo,0,blank,1,3,2,2,-1
Haitian Creole (Clean),English,113,htclean-en.test,113,ABTW6BJ90KRHP,3,koc-combo,4,upv-prhlt-combo,1,_ref,2,cmu-heafield-combo,0,blank,5,3,1,2,-1
Haitian Creole (Clean),English,114,htclean-en.test,114,ABTW6BJ90KRHP,2,cmu-heafield-combo,1,_ref,3,koc-combo,4,upv-prhlt-combo,0,blank,2,1,3,2,-1
Haitian Creole (Clean),English,280,htclean-en.test,280,ABTW6BJ90KRHP,3,koc-combo,4,upv-prhlt-combo,1,_ref,2,cmu-heafield-combo,0,blank,1,2,1,2,-1
Haitian Creole (Clean),English,281,htclean-en.test,281,ABTW6BJ90KRHP,1,_ref,3,koc-combo,2,cmu-heafield-combo,4,upv-prhlt-combo,0,blank,1,3,2,2,-1
Haitian Creole (Clean),English,282,htclean-en.test,282,ABTW6BJ90KRHP,2,cmu-heafield-combo,1,_ref,3,koc-combo,4,upv-prhlt-combo,0,blank,1,1,5,1,-1
