srclang,trglang,srcIndex,documentId,segmentId,judgeId,system1Number,system1Id,system2Number,system2Id,system3Number,system3Id,system4Number,system4Id,system5Number,system5Id,system1rank,system2rank,system3rank,system4rank,system5rank
Haitian Creole (Clean),English,349,htclean-en.test,349,A27I15QVFCD33F,3,cmu-hewavitharana,2,cmu-denkowski,7,liu,8,umd-eidelman,6,koc,4,1,3,1,5
Haitian Creole (Clean),English,350,htclean-en.test,350,A27I15QVFCD33F,7,liu,1,bm-i2r,2,cmu-denkowski,6,koc,8,umd-eidelman,5,3,5,3,4
Haitian Creole (Clean),English,351,htclean-en.test,351,A27I15QVFCD33F,4,hyderabad,1,bm-i2r,2,cmu-denkowski,6,koc,10,uppsala,1,2,4,2,2
Haitian Creole (Clean),English,559,htclean-en.test,559,A2HHYY3H3IBBR0,8,umd-eidelman,10,uppsala,2,cmu-denkowski,1,bm-i2r,3,cmu-hewavitharana,2,2,1,2,5
Haitian Creole (Clean),English,560,htclean-en.test,560,A2HHYY3H3IBBR0,2,cmu-denkowski,3,cmu-hewavitharana,10,uppsala,1,bm-i2r,8,umd-eidelman,3,3,2,3,1
Haitian Creole (Clean),English,561,htclean-en.test,561,A2HHYY3H3IBBR0,10,uppsala,4,hyderabad,2,cmu-denkowski,8,umd-eidelman,3,cmu-hewavitharana,1,3,3,3,3
Haitian Creole (Clean),English,67,htclean-en.test,67,AWXZ6JLSPJO84,4,hyderabad,10,uppsala,1,bm-i2r,2,cmu-denkowski,9,umd-hu,5,5,1,3,1
Haitian Creole (Clean),English,68,htclean-en.test,68,AWXZ6JLSPJO84,6,koc,8,umd-eidelman,4,hyderabad,10,uppsala,2,cmu-denkowski,4,2,2,1,3
Haitian Creole (Clean),English,69,htclean-en.test,69,AWXZ6JLSPJO84,4,hyderabad,7,liu,6,koc,9,umd-hu,2,cmu-denkowski,3,1,4,4,3
Haitian Creole (Clean),English,349,htclean-en.test,349,AWXZ6JLSPJO84,4,hyderabad,8,umd-eidelman,3,cmu-hewavitharana,9,umd-hu,1,bm-i2r,3,3,5,2,1
Haitian Creole (Clean),English,350,htclean-en.test,350,AWXZ6JLSPJO84,6,koc,4,hyderabad,10,uppsala,1,bm-i2r,8,umd-eidelman,1,1,1,1,1
Haitian Creole (Clean),English,351,htclean-en.test,351,AWXZ6JLSPJO84,1,bm-i2r,7,liu,3,cmu-hewavitharana,8,umd-eidelman,9,umd-hu,2,4,3,3,1
Haitian Creole (Clean),English,31,htclean-en.test,31,A27I15QVFCD33F,1,bm-i2r,2,cmu-denkowski,3,cmu-hewavitharana,9,umd-hu,10,uppsala,1,2,3,5,5
Haitian Creole (Clean),English,32,htclean-en.test,32,A27I15QVFCD33F,7,liu,4,hyderabad,10,uppsala,3,cmu-hewavitharana,1,bm-i2r,1,2,3,4,1
Haitian Creole (Clean),English,33,htclean-en.test,33,A27I15QVFCD33F,3,cmu-hewavitharana,10,uppsala,6,koc,7,liu,4,hyderabad,3,3,5,3,4
Haitian Creole (Clean),English,367,htclean-en.test,367,A2HHYY3H3IBBR0,3,cmu-hewavitharana,10,uppsala,2,cmu-denkowski,7,liu,8,umd-eidelman,1,1,2,2,2
Haitian Creole (Clean),English,368,htclean-en.test,368,A2HHYY3H3IBBR0,8,umd-eidelman,7,liu,2,cmu-denkowski,1,bm-i2r,10,uppsala,2,2,2,3,1
Haitian Creole (Clean),English,369,htclean-en.test,369,A2HHYY3H3IBBR0,2,cmu-denkowski,1,bm-i2r,4,hyderabad,9,umd-hu,8,umd-eidelman,1,1,3,2,1
Haitian Creole (Clean),English,52,htclean-en.test,52,AWXZ6JLSPJO84,1,bm-i2r,9,umd-hu,6,koc,7,liu,8,umd-eidelman,2,4,3,1,5
Haitian Creole (Clean),English,53,htclean-en.test,53,AWXZ6JLSPJO84,2,cmu-denkowski,7,liu,1,bm-i2r,10,uppsala,8,umd-eidelman,2,5,1,3,4
Haitian Creole (Clean),English,54,htclean-en.test,54,AWXZ6JLSPJO84,2,cmu-denkowski,8,umd-eidelman,9,umd-hu,6,koc,3,cmu-hewavitharana,1,5,4,3,2
Haitian Creole (Clean),English,559,htclean-en.test,559,A27I15QVFCD33F,4,hyderabad,6,koc,1,bm-i2r,3,cmu-hewavitharana,7,liu,4,5,1,2,2
Haitian Creole (Clean),English,560,htclean-en.test,560,A27I15QVFCD33F,3,cmu-hewavitharana,4,hyderabad,1,bm-i2r,9,umd-hu,7,liu,1,5,1,1,2
Haitian Creole (Clean),English,561,htclean-en.test,561,A27I15QVFCD33F,4,hyderabad,7,liu,9,umd-hu,6,koc,10,uppsala,5,3,1,4,2
Haitian Creole (Clean),English,472,htclean-en.test,472,A27I15QVFCD33F,9,umd-hu,2,cmu-denkowski,8,umd-eidelman,6,koc,7,liu,2,4,1,2,3
Haitian Creole (Clean),English,473,htclean-en.test,473,A27I15QVFCD33F,2,cmu-denkowski,4,hyderabad,9,umd-hu,6,koc,1,bm-i2r,5,3,4,3,1
Haitian Creole (Clean),English,474,htclean-en.test,474,A27I15QVFCD33F,1,bm-i2r,6,koc,8,umd-eidelman,4,hyderabad,2,cmu-denkowski,5,3,4,1,2
Haitian Creole (Clean),English,187,htclean-en.test,187,AT0MJ0PVYMKRQ,10,uppsala,2,cmu-denkowski,3,cmu-hewavitharana,9,umd-hu,8,umd-eidelman,2,5,1,4,3
Haitian Creole (Clean),English,188,htclean-en.test,188,AT0MJ0PVYMKRQ,7,liu,6,koc,10,uppsala,2,cmu-denkowski,1,bm-i2r,2,5,4,2,1
Haitian Creole (Clean),English,189,htclean-en.test,189,AT0MJ0PVYMKRQ,7,liu,1,bm-i2r,3,cmu-hewavitharana,9,umd-hu,10,uppsala,1,1,4,3,5
Haitian Creole (Clean),English,298,htclean-en.test,298,AWXZ6JLSPJO84,7,liu,9,umd-hu,4,hyderabad,3,cmu-hewavitharana,8,umd-eidelman,1,3,5,2,4
Haitian Creole (Clean),English,299,htclean-en.test,299,AWXZ6JLSPJO84,2,cmu-denkowski,4,hyderabad,6,koc,3,cmu-hewavitharana,7,liu,1,4,5,1,4
Haitian Creole (Clean),English,300,htclean-en.test,300,AWXZ6JLSPJO84,2,cmu-denkowski,8,umd-eidelman,1,bm-i2r,6,koc,3,cmu-hewavitharana,1,1,1,2,1
Haitian Creole (Clean),English,559,htclean-en.test,559,A2HHYY3H3IBBR0,9,umd-hu,2,cmu-denkowski,1,bm-i2r,6,koc,8,umd-eidelman,2,2,1,4,3
Haitian Creole (Clean),English,560,htclean-en.test,560,A2HHYY3H3IBBR0,1,bm-i2r,2,cmu-denkowski,10,uppsala,3,cmu-hewavitharana,9,umd-hu,3,2,3,3,1
Haitian Creole (Clean),English,561,htclean-en.test,561,A2HHYY3H3IBBR0,2,cmu-denkowski,1,bm-i2r,9,umd-hu,6,koc,7,liu,2,1,1,3,2
Haitian Creole (Clean),English,436,htclean-en.test,436,A18KPQKAC1S9LU,2,cmu-denkowski,10,uppsala,8,umd-eidelman,1,bm-i2r,9,umd-hu,1,2,3,1,4
Haitian Creole (Clean),English,437,htclean-en.test,437,A18KPQKAC1S9LU,4,hyderabad,3,cmu-hewavitharana,10,uppsala,8,umd-eidelman,2,cmu-denkowski,3,1,2,1,1
Haitian Creole (Clean),English,438,htclean-en.test,438,A18KPQKAC1S9LU,4,hyderabad,2,cmu-denkowski,6,koc,8,umd-eidelman,3,cmu-hewavitharana,2,3,4,3,1
Haitian Creole (Clean),English,130,htclean-en.test,130,A27I15QVFCD33F,2,cmu-denkowski,4,hyderabad,7,liu,3,cmu-hewavitharana,9,umd-hu,2,3,4,2,1
Haitian Creole (Clean),English,131,htclean-en.test,131,A27I15QVFCD33F,3,cmu-hewavitharana,6,koc,2,cmu-denkowski,8,umd-eidelman,10,uppsala,1,4,5,2,4
Haitian Creole (Clean),English,132,htclean-en.test,132,A27I15QVFCD33F,6,koc,3,cmu-hewavitharana,1,bm-i2r,7,liu,4,hyderabad,5,4,1,2,4
Haitian Creole (Clean),English,427,htclean-en.test,427,AWXZ6JLSPJO84,7,liu,6,koc,10,uppsala,8,umd-eidelman,9,umd-hu,4,5,1,3,2
Haitian Creole (Clean),English,428,htclean-en.test,428,AWXZ6JLSPJO84,3,cmu-hewavitharana,6,koc,7,liu,9,umd-hu,1,bm-i2r,2,3,1,4,3
Haitian Creole (Clean),English,429,htclean-en.test,429,AWXZ6JLSPJO84,4,hyderabad,9,umd-hu,10,uppsala,8,umd-eidelman,3,cmu-hewavitharana,1,3,2,4,2
Haitian Creole (Clean),English,562,htclean-en.test,562,AC8V4RY84Y93P,4,hyderabad,9,umd-hu,8,umd-eidelman,1,bm-i2r,10,uppsala,3,3,3,5,3
Haitian Creole (Clean),English,563,htclean-en.test,563,AC8V4RY84Y93P,1,bm-i2r,9,umd-hu,4,hyderabad,10,uppsala,8,umd-eidelman,2,1,3,4,4
Haitian Creole (Clean),English,564,htclean-en.test,564,AC8V4RY84Y93P,10,uppsala,2,cmu-denkowski,6,koc,4,hyderabad,7,liu,5,1,2,3,3
Haitian Creole (Clean),English,394,htclean-en.test,394,AWXZ6JLSPJO84,4,hyderabad,1,bm-i2r,7,liu,3,cmu-hewavitharana,10,uppsala,5,5,5,5,5
Haitian Creole (Clean),English,395,htclean-en.test,395,AWXZ6JLSPJO84,7,liu,1,bm-i2r,2,cmu-denkowski,6,koc,9,umd-hu,3,1,2,4,4
Haitian Creole (Clean),English,396,htclean-en.test,396,AWXZ6JLSPJO84,1,bm-i2r,3,cmu-hewavitharana,6,koc,9,umd-hu,8,umd-eidelman,4,2,4,4,3
Haitian Creole (Clean),English,394,htclean-en.test,394,AWXZ6JLSPJO84,8,umd-eidelman,4,hyderabad,1,bm-i2r,6,koc,3,cmu-hewavitharana,5,5,5,1,5
Haitian Creole (Clean),English,395,htclean-en.test,395,AWXZ6JLSPJO84,3,cmu-hewavitharana,6,koc,4,hyderabad,9,umd-hu,1,bm-i2r,1,5,3,4,2
Haitian Creole (Clean),English,396,htclean-en.test,396,AWXZ6JLSPJO84,10,uppsala,2,cmu-denkowski,6,koc,9,umd-hu,8,umd-eidelman,1,4,5,3,2
Haitian Creole (Clean),English,193,htclean-en.test,193,A2HHYY3H3IBBR0,3,cmu-hewavitharana,2,cmu-denkowski,9,umd-hu,7,liu,6,koc,1,1,3,1,4
Haitian Creole (Clean),English,194,htclean-en.test,194,A2HHYY3H3IBBR0,7,liu,9,umd-hu,8,umd-eidelman,2,cmu-denkowski,4,hyderabad,1,2,1,1,1
Haitian Creole (Clean),English,195,htclean-en.test,195,A2HHYY3H3IBBR0,4,hyderabad,9,umd-hu,3,cmu-hewavitharana,10,uppsala,2,cmu-denkowski,3,3,2,4,1
Haitian Creole (Clean),English,448,htclean-en.test,448,A27I15QVFCD33F,7,liu,8,umd-eidelman,6,koc,2,cmu-denkowski,3,cmu-hewavitharana,3,2,4,3,2
Haitian Creole (Clean),English,449,htclean-en.test,449,A27I15QVFCD33F,1,bm-i2r,9,umd-hu,3,cmu-hewavitharana,10,uppsala,2,cmu-denkowski,4,2,3,1,4
Haitian Creole (Clean),English,450,htclean-en.test,450,A27I15QVFCD33F,10,uppsala,8,umd-eidelman,4,hyderabad,1,bm-i2r,6,koc,4,3,5,1,2
Haitian Creole (Clean),English,577,htclean-en.test,577,AT0MJ0PVYMKRQ,3,cmu-hewavitharana,1,bm-i2r,8,umd-eidelman,7,liu,6,koc,3,4,2,1,5
Haitian Creole (Clean),English,578,htclean-en.test,578,AT0MJ0PVYMKRQ,2,cmu-denkowski,6,koc,4,hyderabad,3,cmu-hewavitharana,7,liu,3,5,4,3,3
Haitian Creole (Clean),English,579,htclean-en.test,579,AT0MJ0PVYMKRQ,3,cmu-hewavitharana,1,bm-i2r,10,uppsala,6,koc,4,hyderabad,4,2,3,5,4
Haitian Creole (Clean),English,190,htclean-en.test,190,A2HHYY3H3IBBR0,10,uppsala,1,bm-i2r,2,cmu-denkowski,8,umd-eidelman,6,koc,2,1,2,2,2
Haitian Creole (Clean),English,191,htclean-en.test,191,A2HHYY3H3IBBR0,6,koc,10,uppsala,2,cmu-denkowski,4,hyderabad,9,umd-hu,3,4,2,3,3
Haitian Creole (Clean),English,192,htclean-en.test,192,A2HHYY3H3IBBR0,2,cmu-denkowski,7,liu,6,koc,4,hyderabad,10,uppsala,3,4,3,3,3
Haitian Creole (Clean),English,568,htclean-en.test,568,A2HHYY3H3IBBR0,2,cmu-denkowski,4,hyderabad,9,umd-hu,3,cmu-hewavitharana,10,uppsala,1,3,2,2,3
Haitian Creole (Clean),English,569,htclean-en.test,569,A2HHYY3H3IBBR0,8,umd-eidelman,1,bm-i2r,4,hyderabad,9,umd-hu,7,liu,4,2,4,1,3
Haitian Creole (Clean),English,570,htclean-en.test,570,A2HHYY3H3IBBR0,8,umd-eidelman,10,uppsala,7,liu,3,cmu-hewavitharana,6,koc,1,3,2,1,4
Haitian Creole (Clean),English,349,htclean-en.test,349,A2HHYY3H3IBBR0,9,umd-hu,2,cmu-denkowski,6,koc,10,uppsala,7,liu,1,4,5,2,4
Haitian Creole (Clean),English,350,htclean-en.test,350,A2HHYY3H3IBBR0,2,cmu-denkowski,6,koc,4,hyderabad,9,umd-hu,1,bm-i2r,2,3,3,3,3
Haitian Creole (Clean),English,351,htclean-en.test,351,A2HHYY3H3IBBR0,1,bm-i2r,6,koc,10,uppsala,3,cmu-hewavitharana,4,hyderabad,3,3,3,3,3
Haitian Creole (Raw),English,364,htraw-en.test,364,A2HHYY3H3IBBR0,1,bm-i2r,2,cmu-denkowski,8,umd-eidelman,5,jhu,3,cmu-hewavitharana,3,2,5,5,1
Haitian Creole (Raw),English,365,htraw-en.test,365,A2HHYY3H3IBBR0,2,cmu-denkowski,7,liu,8,umd-eidelman,1,bm-i2r,3,cmu-hewavitharana,1,1,1,1,1
Haitian Creole (Raw),English,366,htraw-en.test,366,A2HHYY3H3IBBR0,7,liu,8,umd-eidelman,3,cmu-hewavitharana,5,jhu,1,bm-i2r,3,3,4,5,3
Haitian Creole (Raw),English,559,htraw-en.test,559,AT0MJ0PVYMKRQ,7,liu,2,cmu-denkowski,1,bm-i2r,5,jhu,8,umd-eidelman,2,1,2,4,3
Haitian Creole (Raw),English,560,htraw-en.test,560,AT0MJ0PVYMKRQ,7,liu,1,bm-i2r,8,umd-eidelman,2,cmu-denkowski,5,jhu,3,1,2,3,5
Haitian Creole (Raw),English,561,htraw-en.test,561,AT0MJ0PVYMKRQ,2,cmu-denkowski,1,bm-i2r,3,cmu-hewavitharana,8,umd-eidelman,5,jhu,5,1,5,4,3
Haitian Creole (Raw),English,343,htraw-en.test,343,A27I15QVFCD33F,1,bm-i2r,8,umd-eidelman,5,jhu,3,cmu-hewavitharana,2,cmu-denkowski,1,4,3,2,2
Haitian Creole (Raw),English,344,htraw-en.test,344,A27I15QVFCD33F,2,cmu-denkowski,8,umd-eidelman,7,liu,5,jhu,3,cmu-hewavitharana,2,1,1,1,1
Haitian Creole (Raw),English,345,htraw-en.test,345,A27I15QVFCD33F,7,liu,8,umd-eidelman,1,bm-i2r,2,cmu-denkowski,3,cmu-hewavitharana,2,1,2,5,5
Haitian Creole (Raw),English,559,htraw-en.test,559,AWXZ6JLSPJO84,7,liu,1,bm-i2r,5,jhu,8,umd-eidelman,2,cmu-denkowski,4,2,5,4,1
Haitian Creole (Raw),English,560,htraw-en.test,560,AWXZ6JLSPJO84,5,jhu,2,cmu-denkowski,7,liu,8,umd-eidelman,1,bm-i2r,4,2,2,1,3
Haitian Creole (Raw),English,561,htraw-en.test,561,AWXZ6JLSPJO84,5,jhu,2,cmu-denkowski,7,liu,1,bm-i2r,3,cmu-hewavitharana,4,4,5,1,4
Haitian Creole (Raw),English,502,htraw-en.test,502,A18KPQKAC1S9LU,3,cmu-hewavitharana,1,bm-i2r,2,cmu-denkowski,7,liu,8,umd-eidelman,1,3,1,2,1
Haitian Creole (Raw),English,503,htraw-en.test,503,A18KPQKAC1S9LU,7,liu,1,bm-i2r,8,umd-eidelman,2,cmu-denkowski,5,jhu,2,1,2,1,2
Haitian Creole (Raw),English,504,htraw-en.test,504,A18KPQKAC1S9LU,2,cmu-denkowski,3,cmu-hewavitharana,7,liu,5,jhu,8,umd-eidelman,1,2,3,3,4
Haitian Creole (Raw),English,241,htraw-en.test,241,A27I15QVFCD33F,2,cmu-denkowski,1,bm-i2r,5,jhu,3,cmu-hewavitharana,7,liu,1,1,5,1,1
Haitian Creole (Raw),English,242,htraw-en.test,242,A27I15QVFCD33F,5,jhu,2,cmu-denkowski,1,bm-i2r,3,cmu-hewavitharana,7,liu,4,5,1,3,2
Haitian Creole (Raw),English,243,htraw-en.test,243,A27I15QVFCD33F,8,umd-eidelman,2,cmu-denkowski,7,liu,5,jhu,3,cmu-hewavitharana,5,1,3,5,2
Haitian Creole (Raw),English,589,htraw-en.test,589,A27I15QVFCD33F,5,jhu,8,umd-eidelman,3,cmu-hewavitharana,1,bm-i2r,2,cmu-denkowski,5,4,3,1,1
Haitian Creole (Raw),English,590,htraw-en.test,590,A27I15QVFCD33F,5,jhu,1,bm-i2r,8,umd-eidelman,2,cmu-denkowski,7,liu,5,1,2,1,2
Haitian Creole (Raw),English,591,htraw-en.test,591,A27I15QVFCD33F,2,cmu-denkowski,8,umd-eidelman,3,cmu-hewavitharana,1,bm-i2r,5,jhu,5,3,1,1,1
Haitian Creole (Raw),English,4,htraw-en.test,4,A2HHYY3H3IBBR0,8,umd-eidelman,3,cmu-hewavitharana,7,liu,2,cmu-denkowski,1,bm-i2r,1,1,1,1,2
Haitian Creole (Raw),English,5,htraw-en.test,5,A2HHYY3H3IBBR0,5,jhu,8,umd-eidelman,2,cmu-denkowski,7,liu,3,cmu-hewavitharana,4,3,4,4,4
Haitian Creole (Raw),English,6,htraw-en.test,6,A2HHYY3H3IBBR0,2,cmu-denkowski,1,bm-i2r,8,umd-eidelman,3,cmu-hewavitharana,7,liu,3,3,4,3,2
Haitian Creole (Raw),English,556,htraw-en.test,556,AT0MJ0PVYMKRQ,2,cmu-denkowski,3,cmu-hewavitharana,7,liu,1,bm-i2r,5,jhu,4,4,4,4,5
Haitian Creole (Raw),English,557,htraw-en.test,557,AT0MJ0PVYMKRQ,3,cmu-hewavitharana,1,bm-i2r,8,umd-eidelman,2,cmu-denkowski,7,liu,2,2,2,2,2
Haitian Creole (Raw),English,558,htraw-en.test,558,AT0MJ0PVYMKRQ,3,cmu-hewavitharana,1,bm-i2r,8,umd-eidelman,2,cmu-denkowski,7,liu,1,2,5,4,3
Haitian Creole (Raw),English,439,htraw-en.test,439,AWXZ6JLSPJO84,3,cmu-hewavitharana,8,umd-eidelman,7,liu,5,jhu,1,bm-i2r,1,1,3,2,4
Haitian Creole (Raw),English,440,htraw-en.test,440,AWXZ6JLSPJO84,8,umd-eidelman,5,jhu,2,cmu-denkowski,1,bm-i2r,3,cmu-hewavitharana,2,2,3,1,2
Haitian Creole (Raw),English,441,htraw-en.test,441,AWXZ6JLSPJO84,2,cmu-denkowski,3,cmu-hewavitharana,7,liu,8,umd-eidelman,1,bm-i2r,1,4,3,1,2
Haitian Creole (Raw),English,304,htraw-en.test,304,AC8V4RY84Y93P,1,bm-i2r,8,umd-eidelman,2,cmu-denkowski,7,liu,5,jhu,3,2,1,1,1
Haitian Creole (Raw),English,305,htraw-en.test,305,AC8V4RY84Y93P,2,cmu-denkowski,1,bm-i2r,3,cmu-hewavitharana,7,liu,5,jhu,4,2,4,4,5
Haitian Creole (Raw),English,306,htraw-en.test,306,AC8V4RY84Y93P,5,jhu,3,cmu-hewavitharana,7,liu,2,cmu-denkowski,8,umd-eidelman,5,1,5,2,1
Haitian Creole (Raw),English,343,htraw-en.test,343,AWXZ6JLSPJO84,3,cmu-hewavitharana,2,cmu-denkowski,1,bm-i2r,7,liu,5,jhu,2,2,1,4,3
Haitian Creole (Raw),English,344,htraw-en.test,344,AWXZ6JLSPJO84,5,jhu,1,bm-i2r,7,liu,3,cmu-hewavitharana,8,umd-eidelman,2,2,2,2,1
Haitian Creole (Raw),English,345,htraw-en.test,345,AWXZ6JLSPJO84,3,cmu-hewavitharana,7,liu,5,jhu,1,bm-i2r,2,cmu-denkowski,4,3,2,1,4
Haitian Creole (Raw),English,400,htraw-en.test,400,A2HHYY3H3IBBR0,7,liu,1,bm-i2r,3,cmu-hewavitharana,8,umd-eidelman,2,cmu-denkowski,3,2,1,3,3
