srclang,trglang,srcIndex,documentId,segmentId,judgeId,system1Number,system1Id,system2Number,system2Id,system3Number,system3Id,system4Number,system4Id,system5Number,system5Id,system1rank,system2rank,system3rank,system4rank,system5rank
English,Czech,781,en-cz.test,781,A2D965BGCAI8XJ,1,_ref,10,upv-prhlt-combo,3,cmu-heafield-combo,0,blank,0,blank,2,3,3,-1,-1
English,Czech,782,en-cz.test,782,A2D965BGCAI8XJ,10,upv-prhlt-combo,1,_ref,3,cmu-heafield-combo,0,blank,0,blank,4,2,4,-1,-1
English,Czech,783,en-cz.test,783,A2D965BGCAI8XJ,1,_ref,10,upv-prhlt-combo,3,cmu-heafield-combo,0,blank,0,blank,1,2,3,-1,-1
English,Czech,913,en-cz.test,913,A1KOBAVR922QCR,10,upv-prhlt-combo,1,_ref,3,cmu-heafield-combo,0,blank,0,blank,2,1,2,-1,-1
English,Czech,914,en-cz.test,914,A1KOBAVR922QCR,3,cmu-heafield-combo,1,_ref,10,upv-prhlt-combo,0,blank,0,blank,3,1,2,-1,-1
English,Czech,915,en-cz.test,915,A1KOBAVR922QCR,10,upv-prhlt-combo,3,cmu-heafield-combo,1,_ref,0,blank,0,blank,3,2,1,-1,-1
English,Czech,1427,en-cz.test,1427,A1KOBAVR922QCR,1,_ref,3,cmu-heafield-combo,10,upv-prhlt-combo,0,blank,0,blank,1,2,3,-1,-1
English,Czech,1428,en-cz.test,1428,A1KOBAVR922QCR,1,_ref,10,upv-prhlt-combo,3,cmu-heafield-combo,0,blank,0,blank,1,2,3,-1,-1
English,Czech,1429,en-cz.test,1429,A1KOBAVR922QCR,3,cmu-heafield-combo,10,upv-prhlt-combo,1,_ref,0,blank,0,blank,3,2,1,-1,-1
English,Czech,235,en-cz.test,235,A2HIRCRMUCEN11,1,_ref,3,cmu-heafield-combo,10,upv-prhlt-combo,0,blank,0,blank,1,5,5,-1,-1
English,Czech,236,en-cz.test,236,A2HIRCRMUCEN11,10,upv-prhlt-combo,1,_ref,3,cmu-heafield-combo,0,blank,0,blank,4,1,5,-1,-1
English,Czech,237,en-cz.test,237,A2HIRCRMUCEN11,1,_ref,10,upv-prhlt-combo,3,cmu-heafield-combo,0,blank,0,blank,1,5,5,-1,-1
English,Czech,571,en-cz.test,571,A1KOBAVR922QCR,1,_ref,3,cmu-heafield-combo,10,upv-prhlt-combo,0,blank,0,blank,1,3,2,-1,-1
English,Czech,572,en-cz.test,572,A1KOBAVR922QCR,3,cmu-heafield-combo,1,_ref,10,upv-prhlt-combo,0,blank,0,blank,2,1,2,-1,-1
English,Czech,573,en-cz.test,573,A1KOBAVR922QCR,10,upv-prhlt-combo,1,_ref,3,cmu-heafield-combo,0,blank,0,blank,2,1,2,-1,-1
English,Czech,1509,en-cz.test,1509,A2HIRCRMUCEN11,10,upv-prhlt-combo,1,_ref,3,cmu-heafield-combo,0,blank,0,blank,5,1,4,-1,-1
English,Czech,1510,en-cz.test,1510,A2HIRCRMUCEN11,3,cmu-heafield-combo,10,upv-prhlt-combo,1,_ref,0,blank,0,blank,5,5,1,-1,-1
English,Czech,1511,en-cz.test,1511,A2HIRCRMUCEN11,3,cmu-heafield-combo,1,_ref,10,upv-prhlt-combo,0,blank,0,blank,4,1,5,-1,-1
English,Czech,997,en-cz.test,997,A2D965BGCAI8XJ,3,cmu-heafield-combo,10,upv-prhlt-combo,1,_ref,0,blank,0,blank,3,3,2,-1,-1
English,Czech,998,en-cz.test,998,A2D965BGCAI8XJ,3,cmu-heafield-combo,1,_ref,10,upv-prhlt-combo,0,blank,0,blank,4,1,3,-1,-1
English,Czech,999,en-cz.test,999,A2D965BGCAI8XJ,3,cmu-heafield-combo,1,_ref,10,upv-prhlt-combo,0,blank,0,blank,2,1,2,-1,-1
English,Czech,1569,en-cz.test,1569,A1KKER1M7J1AFH,1,_ref,3,cmu-heafield-combo,10,upv-prhlt-combo,0,blank,0,blank,1,3,2,-1,-1
English,Czech,1570,en-cz.test,1570,A1KKER1M7J1AFH,3,cmu-heafield-combo,10,upv-prhlt-combo,1,_ref,0,blank,0,blank,2,2,1,-1,-1
English,Czech,1571,en-cz.test,1571,A1KKER1M7J1AFH,3,cmu-heafield-combo,1,_ref,10,upv-prhlt-combo,0,blank,0,blank,2,1,3,-1,-1
