srclang,trglang,srcIndex,documentId,segmentId,judgeId,system1Number,system1Id,system2Number,system2Id,system3Number,system3Id,system4Number,system4Id,system5Number,system5Id,system1rank,system2rank,system3rank,system4rank,system5rank
Czech,English,1992,cz-en.test,1992,ABTW6BJ90KRHP,11,cu-bojar,1,_ref,41,uedin,40,systran,10,cst,3,5,2,1,5
Czech,English,1993,cz-en.test,1993,ABTW6BJ90KRHP,40,systran,11,cu-bojar,10,cst,30,online-B,41,uedin,5,1,5,2,1
Czech,English,1994,cz-en.test,1994,ABTW6BJ90KRHP,15,cu-zeman,45,uppsala,30,online-B,10,cst,1,_ref,4,5,2,3,1
Czech,English,1385,cz-en.test,1385,ABTW6BJ90KRHP,40,systran,1,_ref,15,cu-zeman,41,uedin,20,jhu,2,1,4,3,5
Czech,English,1386,cz-en.test,1386,ABTW6BJ90KRHP,41,uedin,30,online-B,20,jhu,1,_ref,40,systran,2,1,2,3,1
Czech,English,1387,cz-en.test,1387,ABTW6BJ90KRHP,11,cu-bojar,1,_ref,30,online-B,41,uedin,10,cst,4,1,5,2,3
Czech,English,148,cz-en.test,148,ABTW6BJ90KRHP,40,systran,20,jhu,10,cst,1,_ref,11,cu-bojar,4,2,5,1,3
Czech,English,149,cz-en.test,149,ABTW6BJ90KRHP,1,_ref,30,online-B,10,cst,45,uppsala,15,cu-zeman,1,1,5,4,5
Czech,English,150,cz-en.test,150,ABTW6BJ90KRHP,11,cu-bojar,30,online-B,15,cu-zeman,10,cst,1,_ref,1,2,1,1,1
Czech,English,1629,cz-en.test,1629,AWXZ6JLSPJO84,45,uppsala,15,cu-zeman,30,online-B,41,uedin,40,systran,2,4,5,1,3
Czech,English,1630,cz-en.test,1630,AWXZ6JLSPJO84,41,uedin,11,cu-bojar,15,cu-zeman,10,cst,1,_ref,3,4,2,3,1
Czech,English,1631,cz-en.test,1631,AWXZ6JLSPJO84,1,_ref,40,systran,41,uedin,15,cu-zeman,30,online-B,1,5,4,3,2
Czech,English,886,cz-en.test,886,ABTW6BJ90KRHP,30,online-B,10,cst,1,_ref,15,cu-zeman,40,systran,2,4,1,5,3
Czech,English,887,cz-en.test,887,ABTW6BJ90KRHP,15,cu-zeman,20,jhu,45,uppsala,40,systran,10,cst,4,1,5,2,2
Czech,English,888,cz-en.test,888,ABTW6BJ90KRHP,20,jhu,11,cu-bojar,10,cst,1,_ref,40,systran,3,4,5,1,2
Czech,English,358,cz-en.test,358,AWXZ6JLSPJO84,15,cu-zeman,30,online-B,20,jhu,11,cu-bojar,40,systran,5,1,2,3,4
Czech,English,359,cz-en.test,359,AWXZ6JLSPJO84,30,online-B,45,uppsala,15,cu-zeman,10,cst,1,_ref,3,4,2,3,1
Czech,English,360,cz-en.test,360,AWXZ6JLSPJO84,20,jhu,30,online-B,10,cst,15,cu-zeman,1,_ref,2,4,2,3,1
Czech,English,1415,cz-en.test,1415,ABTW6BJ90KRHP,11,cu-bojar,41,uedin,30,online-B,45,uppsala,20,jhu,4,1,5,2,3
Czech,English,1416,cz-en.test,1416,ABTW6BJ90KRHP,20,jhu,11,cu-bojar,45,uppsala,41,uedin,30,online-B,1,3,4,5,5
Czech,English,1417,cz-en.test,1417,ABTW6BJ90KRHP,1,_ref,41,uedin,30,online-B,20,jhu,15,cu-zeman,1,3,2,4,5
Czech,English,886,cz-en.test,886,ABTW6BJ90KRHP,40,systran,15,cu-zeman,11,cu-bojar,20,jhu,41,uedin,2,5,3,4,1
Czech,English,887,cz-en.test,887,ABTW6BJ90KRHP,30,online-B,20,jhu,11,cu-bojar,40,systran,41,uedin,1,5,3,4,2
