srclang,trglang,srcIndex,documentId,segmentId,judgeId,system1Number,system1Id,system2Number,system2Id,system3Number,system3Id,system4Number,system4Id,system5Number,system5Id,system1rank,system2rank,system3rank,system4rank,system5rank
Urdu,English,358,ur-en.test,358,AGA961CZDY79B,1,_ref,9,stanford-dcp,8,sheffield-rose,2,cmu-bleu,7,rwth-cder,1,3,5,2,3
Urdu,English,359,ur-en.test,359,AGA961CZDY79B,7,rwth-cder,3,cmu-bleu-single,5,cu-sempos-bleu,6,nus-tesla-f,1,_ref,4,4,4,4,3
Urdu,English,360,ur-en.test,360,AGA961CZDY79B,8,sheffield-rose,7,rwth-cder,3,cmu-bleu-single,4,cmu-meteor,5,cu-sempos-bleu,5,2,2,2,2
Urdu,English,860,ur-en.test,860,A1V9TOOHDBK2TP,9,stanford-dcp,2,cmu-bleu,5,cu-sempos-bleu,3,cmu-bleu-single,7,rwth-cder,4,4,4,4,4
Urdu,English,861,ur-en.test,861,A1V9TOOHDBK2TP,3,cmu-bleu-single,5,cu-sempos-bleu,4,cmu-meteor,2,cmu-bleu,1,_ref,2,2,2,2,2
Urdu,English,862,ur-en.test,862,A1V9TOOHDBK2TP,3,cmu-bleu-single,2,cmu-bleu,5,cu-sempos-bleu,9,stanford-dcp,1,_ref,3,3,3,3,4
Urdu,English,740,ur-en.test,740,A1V9TOOHDBK2TP,5,cu-sempos-bleu,6,nus-tesla-f,9,stanford-dcp,1,_ref,8,sheffield-rose,4,4,4,1,5
Urdu,English,741,ur-en.test,741,A1V9TOOHDBK2TP,7,rwth-cder,1,_ref,9,stanford-dcp,6,nus-tesla-f,3,cmu-bleu-single,3,3,3,3,3
Urdu,English,742,ur-en.test,742,A1V9TOOHDBK2TP,7,rwth-cder,8,sheffield-rose,1,_ref,2,cmu-bleu,5,cu-sempos-bleu,5,5,1,5,5
Urdu,English,827,ur-en.test,827,A1V9TOOHDBK2TP,2,cmu-bleu,6,nus-tesla-f,9,stanford-dcp,7,rwth-cder,8,sheffield-rose,4,4,4,4,5
Urdu,English,828,ur-en.test,828,A1V9TOOHDBK2TP,5,cu-sempos-bleu,8,sheffield-rose,2,cmu-bleu,9,stanford-dcp,7,rwth-cder,4,5,4,4,4
Urdu,English,829,ur-en.test,829,A1V9TOOHDBK2TP,2,cmu-bleu,5,cu-sempos-bleu,3,cmu-bleu-single,6,nus-tesla-f,1,_ref,4,3,4,4,2
Urdu,English,611,ur-en.test,611,A1V9TOOHDBK2TP,6,nus-tesla-f,2,cmu-bleu,5,cu-sempos-bleu,3,cmu-bleu-single,4,cmu-meteor,5,3,3,3,3
Urdu,English,612,ur-en.test,612,A1V9TOOHDBK2TP,7,rwth-cder,6,nus-tesla-f,1,_ref,9,stanford-dcp,4,cmu-meteor,3,4,2,3,4
Urdu,English,613,ur-en.test,613,A1V9TOOHDBK2TP,5,cu-sempos-bleu,3,cmu-bleu-single,9,stanford-dcp,7,rwth-cder,8,sheffield-rose,5,5,5,5,5
Urdu,English,544,ur-en.test,544,A1V9TOOHDBK2TP,7,rwth-cder,9,stanford-dcp,2,cmu-bleu,3,cmu-bleu-single,5,cu-sempos-bleu,5,5,5,5,5
Urdu,English,545,ur-en.test,545,A1V9TOOHDBK2TP,9,stanford-dcp,1,_ref,2,cmu-bleu,5,cu-sempos-bleu,7,rwth-cder,5,2,5,4,5
Urdu,English,546,ur-en.test,546,A1V9TOOHDBK2TP,4,cmu-meteor,6,nus-tesla-f,8,sheffield-rose,3,cmu-bleu-single,2,cmu-bleu,5,5,5,5,5
Urdu,English,635,ur-en.test,635,A1V9TOOHDBK2TP,2,cmu-bleu,1,_ref,4,cmu-meteor,6,nus-tesla-f,8,sheffield-rose,3,5,3,4,5
Urdu,English,636,ur-en.test,636,A1V9TOOHDBK2TP,6,nus-tesla-f,7,rwth-cder,9,stanford-dcp,5,cu-sempos-bleu,1,_ref,3,5,4,3,3
Urdu,English,637,ur-en.test,637,A1V9TOOHDBK2TP,3,cmu-bleu-single,9,stanford-dcp,1,_ref,8,sheffield-rose,6,nus-tesla-f,3,3,4,5,4
Urdu,English,860,ur-en.test,860,A1V9TOOHDBK2TP,5,cu-sempos-bleu,6,nus-tesla-f,9,stanford-dcp,8,sheffield-rose,7,rwth-cder,4,4,4,-1,4
Urdu,English,861,ur-en.test,861,A1V9TOOHDBK2TP,9,stanford-dcp,6,nus-tesla-f,2,cmu-bleu,8,sheffield-rose,7,rwth-cder,2,2,2,5,2
Urdu,English,862,ur-en.test,862,A1V9TOOHDBK2TP,6,nus-tesla-f,5,cu-sempos-bleu,7,rwth-cder,2,cmu-bleu,9,stanford-dcp,3,3,4,4,4
Urdu,English,740,ur-en.test,740,A1V9TOOHDBK2TP,6,nus-tesla-f,8,sheffield-rose,9,stanford-dcp,3,cmu-bleu-single,2,cmu-bleu,4,5,4,4,4
Urdu,English,741,ur-en.test,741,A1V9TOOHDBK2TP,1,_ref,4,cmu-meteor,2,cmu-bleu,7,rwth-cder,6,nus-tesla-f,2,4,3,4,3
Urdu,English,742,ur-en.test,742,A1V9TOOHDBK2TP,3,cmu-bleu-single,8,sheffield-rose,4,cmu-meteor,9,stanford-dcp,1,_ref,5,5,5,5,1
Urdu,English,635,ur-en.test,635,A9JDSF9W11ULY,7,rwth-cder,3,cmu-bleu-single,5,cu-sempos-bleu,4,cmu-meteor,9,stanford-dcp,2,4,5,3,2
Urdu,English,636,ur-en.test,636,A9JDSF9W11ULY,2,cmu-bleu,3,cmu-bleu-single,8,sheffield-rose,1,_ref,7,rwth-cder,2,3,5,1,4
Urdu,English,637,ur-en.test,637,A9JDSF9W11ULY,5,cu-sempos-bleu,9,stanford-dcp,6,nus-tesla-f,4,cmu-meteor,7,rwth-cder,4,3,5,2,1
Urdu,English,40,ur-en.test,40,A1V9TOOHDBK2TP,4,cmu-meteor,2,cmu-bleu,6,nus-tesla-f,9,stanford-dcp,5,cu-sempos-bleu,3,3,4,3,3
Urdu,English,41,ur-en.test,41,A1V9TOOHDBK2TP,4,cmu-meteor,9,stanford-dcp,5,cu-sempos-bleu,6,nus-tesla-f,3,cmu-bleu-single,2,2,1,3,3
