srclang,trglang,srcIndex,documentId,segmentId,judgeId,system1Number,system1Id,system2Number,system2Id,system3Number,system3Id,system4Number,system4Id,system5Number,system5Id,system1rank,system2rank,system3rank,system4rank,system5rank
Czech,English,1018,cs-en.test,1018,A3L1TNHRLMPUVO,72,jhu-heiro,75,onlineB,85,uk-dan-moses,20,cu-bojar,84,uedin-wmt12,2,1,1,1,1
Czech,English,1019,cs-en.test,1019,A3L1TNHRLMPUVO,72,jhu-heiro,74,onlineA,84,uedin-wmt12,75,onlineB,85,uk-dan-moses,4,3,2,1,4
Czech,English,1020,cs-en.test,1020,A3L1TNHRLMPUVO,85,uk-dan-moses,74,onlineA,20,cu-bojar,84,uedin-wmt12,72,jhu-heiro,3,1,1,2,2
Czech,English,1696,cs-en.test,1696,A343IJF93W3RYY,72,jhu-heiro,75,onlineB,84,uedin-wmt12,85,uk-dan-moses,20,cu-bojar,4,1,3,2,2
Czech,English,1697,cs-en.test,1697,A343IJF93W3RYY,75,onlineB,84,uedin-wmt12,20,cu-bojar,72,jhu-heiro,85,uk-dan-moses,1,1,3,1,1
Czech,English,1698,cs-en.test,1698,A343IJF93W3RYY,72,jhu-heiro,84,uedin-wmt12,85,uk-dan-moses,74,onlineA,20,cu-bojar,5,4,4,3,2
Czech,English,211,cs-en.test,211,A3L1TNHRLMPUVO,75,onlineB,72,jhu-heiro,74,onlineA,85,uk-dan-moses,20,cu-bojar,2,1,1,3,4
Czech,English,212,cs-en.test,212,A3L1TNHRLMPUVO,74,onlineA,85,uk-dan-moses,75,onlineB,72,jhu-heiro,84,uedin-wmt12,1,4,2,4,3
Czech,English,213,cs-en.test,213,A3L1TNHRLMPUVO,75,onlineB,20,cu-bojar,74,onlineA,85,uk-dan-moses,84,uedin-wmt12,1,1,1,2,1
Czech,English,1000,cs-en.test,1000,A3L1TNHRLMPUVO,72,jhu-heiro,74,onlineA,84,uedin-wmt12,20,cu-bojar,85,uk-dan-moses,3,1,2,2,3
Czech,English,1001,cs-en.test,1001,A3L1TNHRLMPUVO,75,onlineB,84,uedin-wmt12,20,cu-bojar,85,uk-dan-moses,72,jhu-heiro,4,4,1,3,2
Czech,English,1002,cs-en.test,1002,A3L1TNHRLMPUVO,72,jhu-heiro,75,onlineB,85,uk-dan-moses,84,uedin-wmt12,20,cu-bojar,3,1,2,3,3
Czech,English,1426,cs-en.test,1426,A18KPQKAC1S9LU,72,jhu-heiro,74,onlineA,75,onlineB,84,uedin-wmt12,85,uk-dan-moses,5,3,3,1,4
Czech,English,1427,cs-en.test,1427,A18KPQKAC1S9LU,74,onlineA,84,uedin-wmt12,72,jhu-heiro,75,onlineB,85,uk-dan-moses,2,1,4,5,3
Czech,English,1428,cs-en.test,1428,A18KPQKAC1S9LU,75,onlineB,72,jhu-heiro,84,uedin-wmt12,74,onlineA,20,cu-bojar,2,4,1,2,1
Czech,English,2791,cs-en.test,2791,A343IJF93W3RYY,20,cu-bojar,84,uedin-wmt12,72,jhu-heiro,74,onlineA,85,uk-dan-moses,2,1,2,1,2
Czech,English,2792,cs-en.test,2792,A343IJF93W3RYY,75,onlineB,74,onlineA,72,jhu-heiro,84,uedin-wmt12,85,uk-dan-moses,2,2,2,1,1
Czech,English,2793,cs-en.test,2793,A343IJF93W3RYY,20,cu-bojar,72,jhu-heiro,74,onlineA,75,onlineB,85,uk-dan-moses,2,5,2,4,5
Czech,English,1384,cs-en.test,1384,A18KPQKAC1S9LU,20,cu-bojar,72,jhu-heiro,74,onlineA,85,uk-dan-moses,84,uedin-wmt12,4,2,5,4,3
Czech,English,1385,cs-en.test,1385,A18KPQKAC1S9LU,74,onlineA,84,uedin-wmt12,75,onlineB,20,cu-bojar,85,uk-dan-moses,2,2,4,4,3
Czech,English,1386,cs-en.test,1386,A18KPQKAC1S9LU,75,onlineB,20,cu-bojar,74,onlineA,72,jhu-heiro,84,uedin-wmt12,1,4,3,3,2
Czech,English,2917,cs-en.test,2917,A3L1TNHRLMPUVO,84,uedin-wmt12,75,onlineB,20,cu-bojar,72,jhu-heiro,74,onlineA,1,3,2,3,1
Czech,English,2918,cs-en.test,2918,A3L1TNHRLMPUVO,20,cu-bojar,85,uk-dan-moses,72,jhu-heiro,84,uedin-wmt12,74,onlineA,2,3,3,1,1
Czech,English,2919,cs-en.test,2919,A3L1TNHRLMPUVO,72,jhu-heiro,85,uk-dan-moses,84,uedin-wmt12,74,onlineA,75,onlineB,3,3,1,2,1
Czech,English,1783,cs-en.test,1783,A343IJF93W3RYY,75,onlineB,84,uedin-wmt12,74,onlineA,85,uk-dan-moses,72,jhu-heiro,2,2,3,3,5
Czech,English,1784,cs-en.test,1784,A343IJF93W3RYY,84,uedin-wmt12,85,uk-dan-moses,72,jhu-heiro,75,onlineB,74,onlineA,2,3,4,4,3
Czech,English,1785,cs-en.test,1785,A343IJF93W3RYY,75,onlineB,20,cu-bojar,74,onlineA,72,jhu-heiro,84,uedin-wmt12,2,3,1,4,2
Czech,English,2944,cs-en.test,2944,A18KPQKAC1S9LU,20,cu-bojar,74,onlineA,72,jhu-heiro,85,uk-dan-moses,75,onlineB,2,4,2,2,2
Czech,English,2945,cs-en.test,2945,A18KPQKAC1S9LU,75,onlineB,74,onlineA,20,cu-bojar,72,jhu-heiro,84,uedin-wmt12,3,5,3,2,3
